id,url,image,queries
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_00_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F15E90>,This is a single-story detached house with a pitched roof and a garage. There is a paved driveway and a landscaped front garden with raised flowerbeds. The house features a bay window and a white front door. A vehicle is parked on the driveway.
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_01_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F160D0>,"The room features carpeted flooring and an L-shaped sofa facing a glass-top coffee table. There is wood paneling around the doorway, and decorative plates and artwork adorn the walls. The space includes a dining area with a red table and chairs, and has natural light coming in from windows covered with patterned drapes."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_02_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F061D0>,"This is an interior space featuring a dining area with a table covered in a red tablecloth and complemented by brown chairs. There is a sliding door partially open, revealing another room. A window provides natural light, and decorative items adorn the walls. The space has carpeted flooring and a wooden sideboard against the wall."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_05_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2AFD4E250>,"The room features built-in storage above the bed and a matching set of drawers and a dressing table. Natural light enters through a window with curtains, and the space is carpeted. There is a bed with a headboard central to the room and a radiator beneath the window."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_11_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F16210>,"The image shows a spacious lawn with a well-maintained grass area. Enclosed by a tall wooden fence, the property features a variety of mature trees and shrubs along the edges. A small statue is visible on the right. The sky is partly cloudy, suggesting an open area conducive to sunlight."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_03_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2AFD4E390>,"This is a living room featuring wood paneling on the walls and a red carpet. The room contains a sofa, a glass-top coffee table, a TV on a stand, and a shelved display unit with various items. There are wall decorations, red curtains on a window, and a fireplace with decorative objects on its mantle. The space has a door leading to another room."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_04_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F16350>,"The kitchen features white cabinetry, a built-in oven, dishwasher, and a sink with a tiled backsplash. There is a glass door leading outside and a window above the sink. The floor is tiled, and there is a counter that could serve as a breakfast bar."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_06_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F16450>,"The room features a large window with blinds and curtains, allowing for natural light. Furnishings include a white dining table with chairs, a recliner, and a workspace with a desk and television. There's carpeted flooring and a textured wallpaper finish on the walls. A heating unit is present beneath the window."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_07_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2B002E590>,"The room features a single bed, a desk with a computer, a chair, and some personal items. There is a carpeted floor, and the decor includes a mirror and artwork on the walls. A doorway to another room is visible."
118290854,https://media.rightmove.co.uk/12k/11130/118290854/11130_STA190734_IMG_08_0000.jpeg,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=1024x682 at 0x2C7F16550>,"The room features a large window with blinds and curtains, a single bed, and a chest of drawers. There is also a desk with a chair. The carpet is red, and the walls are adorned with several pictures."
